matter_type,fee_structure,hourly_rate,estimated_hours,range_low,range_high,retainer_amount,contingency_percentage
Personal Injury,Contingency,0,0,0,0,0,33.3
Family Law,Retainer,375,25,5000,18000,5000,0
Real Estate,Flat Fee,0,0,1750,4500,0,0
Commercial Litigation,Hourly,425,60,12000,80000,10000,0
Estate/Probate,Flat Fee,300,12,2500,7500,0,0
Immigration,Flat Fee,0,0,3000,12000,3000,0
Criminal Defense,Flat Fee,375,20,3500,25000,5000,0
Employment,Hybrid,300,30,5000,35000,3500,25
Bankruptcy,Flat Fee,0,0,1800,6000,0,0
General,Hourly,325,15,2500,12000,2500,0
